10Q02,Queen Maud Gulf
10R01,Back
10R02,Back -- Hayes (Nunavut)
10S01,Rasmussen Basin -- Larsen Sound
10S02,Gulf of Boothia
10T01,Western Banks Island
10T02,Eastern Banks Island
10T03,Northwestern Victoria Island
10T04,Hadley Bay
10T05,Eastern Victoria Island
10T06,Southern Victoria Island
10T07,Prince Albert Sound
10T08,Minto Inlet
10T09,King William Island
10T10,Western Prince of Wales Island
10T11,Eastern Prince of Wales Island
10T12,Western Somerset Island
10T13,Eastern Somerset Island
10U01,Western Brodeur Peninsula
10U02,Admiralty Inlet
10U03,Eclipse Sound
10U04,Southwestern Baffin Bay
10U05,Northwestern Davis Strait
10U06,Northern Cumberland Sound
10U07,Southern Cumberland Sound
10U08,Frobisher Bay
10V01,Prince Patrick Island
10V02,Melville Island
10V03,Bathurst and Cornwallis Islands
10V04,Western Devon Island
10V05,Eastern Devon Island
10V06,Sverdrup Islands
10V07,Nansen and Eureka Sounds
10V08,Greely Fiord
10V09,Arctic Ocean and Lincoln Sea
10V10,Northeastern Ellesmere Island
10V11,Southeastern Ellesmere Island
10V12,Southern Ellesmere Island
11A01,Upper Milk
11A02,Central Milk
11A03,Whitewater
11A04,Frenchman
11A05,Cypress Lake Diversions
11A06,Lower Milk and Poplar
11A07,Big Muddy
